Reserva Franquias,,Reserva Shopping Dom Pedro (F),53.614.478/0001-78,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Bangu (F),47.232.807/0001-13,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Ribeirão Shopping (F),47.112.757/0001-30,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Cascavel (F),47.860.533/0001-07,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Petrolina (F),47.935.149/0001-26,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Cabo Frio Shopping Park Lagos (F),47.512.997/0001-22,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Parque Shopping Maia (F),48.289.352/0001-35,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Lauro de Freitas (F),47.957.449/0001-06,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Gilberto Salomão (F),48.354.055/0001-26,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,RESERVA SJC COLINAS (F),47.890.753/0001-83,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Franca Shopping (F),49.121.620/0001-78,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Mogi (F),05.847.441/0001-47,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Praia do Canto (F),13.501.636/0001-69,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Poços de Caldas (F),52.727.410/0001-32,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Curitiba (F),51.566.443/0002-66,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Vila Velha (F),43.911.534/0001-82,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Boulevard Bauru (F),62.524.427/0001-46,Cobrando,"R$27,00",1,
Reserva Franquias,,Reserva Boa Vista (F),53.459.881/0001-70,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Iguatemi Ribeirão Preto (F),46.673.914/0001-14,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Recreio (F),53.799.480/0001-69,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Teresina (F),53.546.534/0001-84,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Balneário Shopping (F),45.687.735/0001-73,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Nações Shopping (F),47.582.836/0001-05,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Vale do Aço (F),55.572.187/0001-90,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Itaipu (F),28.538.721/0001-79,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Carioca (F),57.515.872/0001-00,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Araraquara (F),05.847.441/0003-09,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva SINOP (F),60.244.239/0001-39,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Capim Dourado Palmas (F),60.645.285/0001-40,Cobrando,"R$27,00",1,Moda
Reserva,,Reserva Partage Betim (F),55.572.187/0002-70,Cobrando,"R$27,00",1,Moda
GRUPO NEVADA RESERVA E VANS,,,,,,,
Reserva Franquias,,Reserva Shopping Vila Olímpia (F),52.385.607/0001-30,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Center Norte (F),52.315.418/0001-91,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva SP Market (F),55.388.764/0001-98,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Maxi Shop Jundiai (F),49.834.521/0001-33,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Sp Market (F),54.078.798/0001-13,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Center Norte (F) ,42.966.532/0001-28,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Tambore (F),51.667.730/0001-81,Cobrando,"R$27,00",1,Moda
Reserva Mini,,Reserva Mini (Grupo Arezzo&Co),16.590.234/0064-50,Cobrando,"R$432,00",12,Moda
Reserva Mini,1,Reserva Mini Barra Shopping (P),,Cobrando,,,Moda
Reserva Mini,2,Reserva Mini BH,,Cobrando,,,Moda
Reserva Mini,3,Reserva Mini Icaraí (P),,Cobrando,,,Moda
Reserva Mini,4,Reserva Mini Iguatemi SP (P),,Cobrando,,,Moda
Reserva Mini,5,Reserva Mini Ipanema,,Cobrando,,,Moda
Reserva Mini,6,Reserva Mini Itupeva (P),,Cobrando,,,Moda
Reserva Mini,7,Reserva Mini Leblon (P),,Cobrando,,,Moda
Reserva Mini,8,Reserva Mini Outlet Premium (P),,Cobrando,,,Moda
Reserva Mini,9,Reserva Mini Park Shopping Brasilia,,Cobrando,,,Moda
Reserva Mini,10,Reserva Mini Plaza (P),,Cobrando,,,Moda
Reserva Mini,11,Reserva Mini RDB (P),,Cobrando,,,Moda
Reserva Mini,12,Reserva Mini Tijuca (P),,Cobrando,,,Moda
Reserva Proprias,,Reserva Próprias (Grupo Arezzo&Co),16.590.234/0064-50,Envio Manual,"R$2.079,00",77,Moda
Reserva Proprias,1,Casa Reserva Morumbi (P),,Envio Manual,,,Moda
Reserva Proprias,2,Club Reserva (P),,Envio Manual,,,Moda
Reserva Proprias,3,Reserva  Clube I Fashion Outlet (P),,Envio Manual,,,Moda
Reserva Proprias,4,Reserva Alphaville (P),,Envio Manual,,,Moda
Reserva Proprias,5,Reserva Barra Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,6,Reserva Barra Sul (P),,Envio Manual,,,Moda
Reserva Proprias,7,Reserva BH Lourdes (P),,Envio Manual,,,Moda
Reserva Proprias,8,Reserva BH Outlet  (P),,Envio Manual,,,Moda
Reserva Proprias,9,Reserva BH Shopping  (P),,Envio Manual,,,Moda
Reserva Proprias,10,Reserva Bossa Nova Mall (P),,Envio Manual,,,Moda
Reserva Proprias,11,Reserva Botafogo Praia Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,12,Reserva Brasília Shopping (P),,Envio Manual,,,Moda
